Detector,X_CORD,Y_CORD,1,2,3,4,5
N29Per,466332.5558,6227741.071,1,1,1,1,1
N30Per,465656.378,6220753.585,0,0,0,0,0
N31Per,465232.5601,6220817.338,0,0,0,0,0
N32Per,464741.73,6220927.06,0,0,0,0,0
N33Per,464371.5826,6221201.21,0,0,0,0,0
N34Per,463897.6481,6221296.427,0,0,0,1,1
N35Per,463665.1191,6221757.472,0,0,0,1,1
N36Per,463505.9957,6222256.163,0,0,0,1,1
N37Per,463409.2442,6222715.953,0,0,0,1,1
N38Per,463245.1611,6223202.201,0,0,0,1,1
N39Per,463025.9377,6223636.559,1,1,1,1,1
N40Per,465112.7969,6225076.571,1,1,1,0,0
N41Per,465552.8363,6224891.575,0,0,0,0,0
N42Per,465973.6298,6224795.971,0,0,0,0,0
N43Per,466217.5654,6224357.089,0,0,0,0,0
S01Per,468265.7153,6216357.25,1,1,1,1,0
S02Per,468338.6863,6216850.484,1,1,1,1,1
S03Per,468449.493,6217329.873,1,1,1,1,1
S04Per,468391.054,6217800.487,1,1,1,1,1
S05Per,468329.8148,6218279.962,1,1,1,1,1
S06Per,468170.9171,6218747.463,1,1,1,1,1
S07Per,468105.9535,6219233.132,1,1,1,1,1
S08Per,467951.3038,6219717.498,1,1,1,1,1
S09Per,467827.0359,6220181.119,1,1,1,1,1
S10Per,467605.9025,6220609.366,1,1,1,1,0
S11Per,467367.327,6221037.326,1,1,1,1,1
S12Per,467179.0641,6221492.178,1,1,1,1,1
S13Per,467254.4051,6221962.916,1,1,1,1,1
S14Per,467381.3116,6222455.01,1,1,1,1,1
S15Per,467526.5174,6222911.905,1,1,1,1,1
S16Per,467712.1399,6223337.556,1,1,1,1,1
S17Per,468117.6597,6223068.828,1,1,1,1,1
S18Per,468456.5684,6222695.187,1,1,1,1,1
S19Per,468786.1529,6222400.562,1,1,1,1,1
S20Per,469286.3851,6222469.07,1,1,1,1,1
S21Per,469727.1381,6222657.556,1,1,1,1,1
S22Per,470196.5232,6222836.022,1,1,1,1,1
S23Per,470617.3717,6223091.044,1,1,1,1,1
S24Per,471066.5367,6223290.581,1,1,1,1,1
S25Per,471452.4299,6223380.021,1,1,1,1,1
S26Per,468626.9013,6221937.542,1,1,1,0,1
S27Per,468945.667,6221726.924,1,1,1,1,1
S28Per,469250.112,6221436.858,1,1,1,1,1
S29Per,469106.4805,6221043.863,1,1,1,1,1
S30Per,468702.6178,6220738.266,1,1,1,1,1
S31Per,468326.8953,6220487.633,1,1,1,1,1
S32Per,467997.1093,6220152.205,1,1,1,1,1
S33Per,468407.6445,6220021.309,1,1,1,1,1
S34Per,468871.7403,6219940.36,1,1,1,1,1
S35Per,469294.2351,6220035.666,1,1,1,1,1
S36Per,469519.6886,6219611.608,1,1,1,1,1
S37Per,469963.009,6219446.156,1,1,1,1,1
S38Per,470462.4957,6219498.966,1,1,1,1,1
S39Per,470954.3074,6219472.001,1,1,1,1,1
S40Per,471427.4377,6219464.801,1,1,1,1,1
S41Per,471897.4341,6219364.76,1,1,1,0,1
